GeneID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12
LOC127889137	3.62	4.24	4.05	1.54	3.62	5.18	5.03	5.73	5.33	4.85	6.16	4.2
LOC129661050	5.74	4.82	4.65	3.26	6.49	3.45	2.2	5.8	1.32	3.35	6.12	3.89
LOC127815700	8.42	5.73	3.16	4	2.86	5.25	2.15	2.3	1.08	5.58	6.45	4.47
LOC130060896	5.2	6.44	3.88	3	5.28	6.57	6.59	6.24	4.29	3.5	5.21	2.03
LOC127399918	7.05	7.86	5.64	2.91	6.64	4.58	5.65	7.14	3.4	9.27	6.19	5.98
LOC130067771	6.38	4.08	5.38	4.26	2.14	2.8	3.69	8.7	5.07	4.46	5.17	2.44
LOC127814715	2.9	3.17	4.27	6.71	4.21	2.03	2.43	2.63	4.01	4.95	6.97	3.95
LOC105370552	4.69	5.18	6.82	3.34	4.27	6.12	6.25	2.94	4.22	2.85	6.13	6.84
ZNF225	7.35	10.44	2.05	5.21	1.29	4.88	3.37	5.79	5.52	2.66	6.2	4.29
LOC129997738	6.58	4.23	5.87	4.63	4.64	3.93	4.46	4.09	6.18	6.2	6.29	4.85
OR2T8	5.83	7.06	7.83	6.43	7.53	5.41	6.42	7.25	4.26	5.94	4.4	4.63
LOC127886107	5.86	4.56	4.27	5.07	2.47	3.75	3.41	2.28	5.83	7.33	6.14	4.67
LOC101928295	4.12	4.14	5.7	4.7	3.02	4.85	2.62	5.67	1.72	3.49	6.91	7.57
LOC128316663	2.63	3.72	4	3.95	4.29	5.51	8.48	5.7	3.67	4.07	5.71	8.49
SMG5	7.33	4.62	4.96	6.61	4.89	1.33	4.06	6.59	5.5	9.21	3.32	3.06
LOC127886082	2.44	7.96	6.47	7.05	5.19	3.23	8.23	6.63	4.32	6.48	4.04	5.62
LOC129937112	3.31	5.54	3.35	5.03	5.34	2.62	4.16	5.2	6.14	5.06	3.84	3.96
IGSF10	6.13	5.88	4	10.89	4.5	2.77	5.77	2.02	2.93	4.2	6.64	4.15
LOC129661027	2.73	6.51	5.96	4.99	9.25	7.79	5.94	5.59	6.42	4.09	5.74	4.26
LOC124907455	4.01	8.73	5.75	10.26	4.19	7.13	2.88	5.68	6.41	3.68	4.12	2.72
LINC01830	2.87	6.4	6.45	4.76	2.6	6.38	3.67	1.67	5.32	6.52	7.08	4.96
LOC127820245	6.12	2.43	7.25	2.17	2.18	4.33	8.36	7.02	4.88	4.67	5.64	5.88
LOC127815160	5.8	3.14	6.39	2.44	4.64	7.13	4.96	5.2	6.6	4.59	5.37	5.93
LOC127823487	5.76	2.14	3.06	3.43	4.03	2.8	6.91	2.99	4.6	2.99	4.88	3.38
LOC127400215	5.8	0.1	5.28	7.66	6.89	1.41	2.05	5.49	5.52	8.31	2.03	6.33
LOC126860324	6	7.32	4.28	8.07	4.66	0.1	6.68	6.72	2.97	5.74	9.97	2.13
LOC127138886	6.15	4.11	4.99	5.72	5.14	5.41	4.45	6.05	3.76	3.75	3.81	2.32
LOC124906399	1.46	5.71	6.65	5.56	2.09	5.07	4.68	4.27	5.69	4.73	4.71	6.76
LOC129996821	4.73	7.13	5.5	4.03	4.57	3.58	4.03	9.25	3.93	3.53	3.79	6.26
LOC129662776	5.2	4.08	5.28	3.78	4.51	5.88	4.87	4.66	4.42	4.25	6.26	3.67
DEFB134	6.3	4.76	4.78	3.71	2.47	5.08	5.35	5.6	6.95	3.53	5.92	4.15
LOC129660839	2.86	5.63	5.71	3.43	3.36	4.46	1.88	5.86	5.31	6.56	4.32	4.73
STAG3L4	4.1	5.41	2.88	4.03	3.43	7.29	3.56	6.7	5.91	6.44	4.46	2.86
LOC129933796	3.07	3.61	4.24	3.88	6.49	7.59	5.81	6.52	6.83	6.6	1.81	3.96
LOC127276128	6.9	6.32	7.91	5.95	6	6.88	4.78	4.97	4.54	4.55	7.44	4.15
LOC129999191	7.3	5.98	6.11	6.39	6.25	6.07	5.19	4.76	4.43	3.99	3.91	3.37
LOC129661115	6.42	4.48	3.27	7.89	7.53	3.2	4.46	3.06	6.87	0.1	4.39	4.01
LOC127268955	2.8	2.8	2.79	0.59	4.42	4.55	7.19	5.75	1.95	6.22	6.11	3.3
LOC126860323	5.81	6.14	3.27	5.89	7.13	4.92	5	6.28	5.68	3.33	3.98	4.21
LOC101929439	7.07	7.57	6.04	4.43	4.52	5.27	4.86	4.24	5.19	8.09	4.11	3.69
LOC129998939	5.3	7.48	5.78	4.52	7.08	7.01	6.24	6.54	7.85	4.58	1.62	6.73
LOC129663995	3.98	6.57	3.98	2.04	2.74	2.44	9.13	5.11	4.68	5.22	4.42	8.09
LOC129995757	3.04	4.13	4.34	4.94	3.91	2.56	5.98	5.94	5.36	6.72	2.55	3.73
LOC127408449	3.8	4.04	6.76	3.6	6.64	4.89	7.09	3.66	2.7	3.8	6.44	7.89
LOC130068350	6.29	3.94	4.45	5.64	7.98	2.35	3.51	6.93	4.38	5.8	4.81	4.69
LOC130004847	4.22	4.26	4.89	3	4.93	7.01	5.13	2.68	3.02	7.13	5.09	2.12
LOC130007419	5.41	6.28	5.63	11.2	4.4	4.7	4.11	8.78	6.07	5.4	8	3.83
RNA5SP141	7.33	5.46	4.67	3.59	6.13	0.15	6.61	4.68	5.15	8.28	0.24	6.06
LOC127886627	6.04	1.66	3.68	4.49	4.78	4.57	5.26	2.47	4.4	4.26	4.51	4.36
LOC127270441	7.46	1.65	4.26	2.79	5.02	5.38	6.16	3.12	5.47	6.52	4.65	6.6
LOC105372582	1.94	4.96	3.05	4.41	5.45	3.61	9.83	1.4	7.45	6.3	6.41	4.71
LOC127398209	4.49	5.27	5.84	8.84	6.96	2.72	3.82	4.63	3.81	5.4	3.25	1.39
LOC127883763	5.12	0.85	7.4	4.3	3.08	5.02	6	5.34	5.94	7.34	4.23	1.97
LOC105373929	6.04	3.53	5.44	6.1	4.21	7.2	3.15	3.84	5.06	4.74	3.89	8.36
MIR4750	2.9	5.05	6.46	3.31	6.08	4.14	3.68	4.7	3.09	4.71	5.56	6.85
LOC127883553	6.45	7.63	3.83	7.77	1.14	7	6.99	2.66	2.11	5.24	4.95	5.48
LOC729654	5.55	1.38	4.75	5.84	7.33	7.52	4.85	6.83	7.27	6.23	5.83	3.46
LOC124905049	5.47	2.74	4.75	3.71	3.83	2.72	5.64	4.7	7.78	3.4	4.01	6.09
LOC105371199	5.92	3.06	2.42	5.41	3.12	6.56	3.71	5.51	7.21	2.75	4.47	2.07
LOC102723883	4.79	5.32	5.16	4.3	5.3	4.81	4.77	8.82	3.23	3.2	4.72	6.84
LOC130056725	6.67	5.6	5.86	5.92	9.02	5.44	3.22	6.76	4.35	4.08	4.57	5.7
LOC123987609	6.17	4.42	6.23	3.54	3.79	8.16	6.07	2.86	8.49	6.56	2.79	3.94
OR5H7P	4.73	2.1	7.37	5.83	2.31	6.76	3.35	7.02	6.36	5.7	8.14	4.29
LOC127269076	6.87	3.87	2.35	7.85	4.76	4.13	4.43	2	6.19	5.13	7.34	3.32
RN7SL222P	5.53	3.99	6.11	7.27	7.11	2.3	4.22	10.16	8.3	6.45	4.75	5.8
LOC129937105	6.2	4.64	6.29	5.55	4.5	5.65	5.28	7.66	2.97	6.94	5.09	3.38
LOC127828871	3.93	7.92	4.62	5.6	6.08	5.95	4.27	2.19	4.14	2.17	3.71	2.55
LOC127409232	7.84	3.78	6.08	5.76	7.08	7.18	2.67	3.49	4.05	4.78	5.56	6.12
LOC127274328	4.99	5.14	2.45	6.62	1.92	7.57	5.5	7.79	4.25	4.62	2.41	4.86
MIR1825	6.53	3.73	5.39	5.69	6.08	5.39	6.37	2.91	3.04	7.33	5.91	5.61
ATP4B	4.82	2.77	0.1	6.09	4.07	5.3	8.01	9.32	5.17	4.29	1.38	2.5
LOC129388675	4.5	6.14	5.56	6.15	4.89	5.79	2.38	7.39	4.63	5.25	3.13	5.79
MSRA-DT	6.41	3.11	7.88	5.41	9.04	6.95	7.57	6.5	3.33	7.05	8.52	6.27
RNU7-52P	2.15	9.92	7.78	6.3	5.45	5.3	3.16	4.19	8.34	7.59	4.86	5.38
LOC130006736	5.86	5.17	0.21	5.1	6.46	4.3	4.66	8.01	5.11	6.4	4.53	2.79
LOC129661369	5.71	5.11	5.96	6.82	3.22	3.1	2.82	5.33	0.68	4.91	4.79	7.05
LOC129936548	0.15	4.88	4.37	4.23	5.77	5.02	7.75	6.95	4.42	5.63	4.06	4.3
LOC105372120	5.66	8.32	4.95	5.35	4.78	4.97	5.25	3.97	0.39	1.23	6.71	6.99
CDC14B	1.1	6.2	1.01	5.06	4.58	5	4.92	6.46	4.56	2.51	4.57	7.86
LOC112679202	6.19	4.55	5.69	3.07	6	4.29	5.79	3.25	5.68	2.01	6.29	5.41
LOC130062758	4.18	2.9	4.05	7.16	2.29	3.94	10.14	4.04	4	6.9	8.28	5.18
LOC124908329	3.75	3.13	5.67	2.91	7.5	6.67	3.82	4.68	4.94	6.43	7.8	7.77
LOC130061593	4.99	3.59	4.66	7.35	9.11	4.74	5.81	7.16	5.6	6.99	4.16	3.51
LOC124901794	7.47	7.19	3.15	3.08	4.21	7.81	5.17	5.33	4.31	6.33	4.92	6.42
LOC105378620	3.86	4.66	5.6	3.23	5.93	3.59	5.31	4.18	7.48	4.65	6.44	5.68
RPL7P19	6	3.64	6.07	6.55	8.7	1.68	7.01	3.12	8.38	5.91	3.57	4.47
LOC124901715	5.61	6.43	5.1	4.85	3.41	4.71	5.37	3.67	6.46	6.17	3.24	2.07
USH1H	2.88	7.42	6.02	1.68	5.08	6.64	4.86	5.57	6.74	7.27	5.58	6.85
LOC124904840	1.87	3.75	4.16	7.71	9.16	4.72	5.57	5.65	9.21	3.61	7.51	6.36
LOC127267114	1.41	4.2	7.31	0.52	3.33	2.16	3.72	4.49	4.76	5.63	4.46	4.68
LOC130065401	5.99	5.62	4.36	3.75	6.72	3.95	8.38	3.79	5.31	2.65	5.29	5.77
ZNF525	4.94	4.99	3.96	2.26	5.85	4.93	8.35	1.27	2.2	1.68	1.99	3.27
LOC105375791	8.33	5.73	6.87	3.98	4.35	7.35	3.57	5.68	4.89	2.27	6.89	5.53
LPAR4	6.03	8.09	7.01	5.16	5.65	7.02	1.6	4.33	4.03	1.54	3.97	4.3
LOC121048712	6.53	4.89	6.23	4.4	4.4	6.46	8.51	4.92	4.75	3.42	5.8	5.02
LOC108644431	7.4	4.49	5.4	3.96	6.37	5.85	5.89	4.75	5.23	2.72	3.25	4.92
FEB10	4.1	5.87	7.87	4.71	4.08	3.54	2.47	1.32	4.76	8.28	3.86	3.44
LOC124418417	5.92	4.91	3.18	5.48	1.84	6.46	3.54	4.84	4.49	6.39	8.98	5.63
GPC6	6.56	6.13	7.05	3.46	6.46	7.19	3.15	8.25	0.53	4.56	8.51	4.17
LOC126863028	7.46	4.6	8.09	1.27	7.04	6.34	5.24	8.33	7.19	4.28	3.6	6.54
LOC127275832	6.37	5.8	5.1	3.33	5.2	7.12	4.5	2.3	6.13	7.65	6.36	8.56
MIR485	5.76	2.19	6.05	1.57	3.51	5.55	7.47	5.05	1.76	5.47	3.59	4.62
LOC123956167	3.44	5.03	6.1	6.14	4.13	6.83	8.35	1.26	5.06	3.61	4.27	4.42
LOC124900218	6.31	4.07	7.15	8.37	2.63	7.53	6.64	3.93	7.58	4.77	6.58	4.45
MIR663A	5.9	2.86	3.45	2.94	2.5	3.26	4.96	8.13	8.2	5.08	4.75	6.28
LOC130063984	6.14	4.26	6.61	3.41	7.04	7.73	7.01	6.5	9.44	4.8	7.75	4.53
LOC126860913	5.76	5.67	1.92	3.42	1.29	6.38	3.65	4.38	4	9	6.99	5.53
TMEM256	4.64	5.17	8.74	6.42	6.01	6.27	3.83	4.29	6.71	6.75	2.32	3.18
LOC127823334	4.86	6.25	3.97	5.06	4.31	5.13	5.04	4.85	7.55	6.06	3.59	5.92
LOC124902346	6.24	6.69	4.43	5.88	2.61	3.28	4.67	2.87	3.62	4.07	3.34	4.81
LOC129933068	5.31	6.49	5.47	6.39	4.58	2.75	3.6	5.18	6.05	7.79	6.43	3.26
LOC127401247	3.51	4.42	2.75	5.45	4.66	5.54	5.67	3.49	5.55	6.48	3.75	3.8
LOC123744823	4.48	2.61	4.53	5.81	7.16	4.74	3.88	2.56	7.3	1.99	3.24	5.96
LOC124174318	2.63	4.5	5.11	2.91	9.32	6.92	7.04	3.52	5.46	3.77	4.5	2.93
RNU2-57P	3.26	7.11	4.39	4.89	8.28	4.97	4.37	6.88	4.56	7.91	3.5	3.06
LOC127822361	4.74	4.78	8.65	3.89	7.93	4.33	4.35	3.1	5.87	1.64	3.62	5.97
LOC127883441	1.76	2.05	1.78	2.65	7.91	7.72	4.88	3.28	3.08	4.21	7.17	4.21
LOC130060731	1.96	5.88	4.81	2.9	6.67	4.52	7.45	0.82	6.19	5.24	3.15	1.65
DTNBP1	6.98	5.51	7.12	6.69	4.18	3.79	6.1	5.98	4.35	2.96	1.95	6.63
LOC127895734	3.96	4.28	3.49	2.66	5.31	6.21	5.66	5.16	5.82	7.27	7.15	4.23
LOC127898101	1.67	5.31	4.75	4.27	2.24	7.71	6.85	4.3	5.41	4.02	7.77	3.19
LOC130001984	4.8	7.46	8.5	6.77	3.6	3.24	3.05	6.63	5.51	4.28	7.36	7.78
GLYATL1P2	7.38	7.34	1.64	5.59	3.43	4.51	7.06	5.04	3.7	2.12	4.1	1.41
LOC124906850	6.19	4.18	3.55	6.17	3.04	4.38	5.02	6.04	4.8	5.04	7.13	3.26
LOC127816537	5.79	5.02	2.84	5.6	7.54	5.06	2.4	4.24	4.22	3.94	4.49	6.16
LOC127404065	7.13	2.38	6.13	4.73	5.9	5.6	3.94	3.86	6.08	4.2	5.56	0.92
FOXD1	3.61	3.69	3.44	1.04	5.48	6.31	4.34	6.99	8.63	4.61	3.09	6.81
LOC130006436	6.31	8.61	5.84	3.9	4.98	6.88	7.74	6.5	6.01	7.03	6.36	4.77
LSMEM1	3.94	7.7	3.84	2.52	6.77	3.69	1.4	6.64	2.81	3.8	2.36	4.4
MIR5739	5	4.59	4.73	4.32	6.59	4.97	4.38	5.75	2.89	3.85	2.89	4.89
LOC111875826	8.99	3.75	6.54	8.7	3.37	6.42	3.26	4.78	5.05	5.14	2.44	2.64
LOC130001155	6.74	2.54	5.25	5.25	1.39	3.93	5.49	3.44	6.8	5.6	7.27	3.82
LOC127888875	6.38	8.83	1.51	3.71	2.88	5.82	5.03	8.56	7.55	1.71	1.83	2.88
LOC127458799	3.01	5.21	4.04	6.6	4.11	8.14	6.9	5.28	3.01	2.54	5.89	4.79
LOC127403348	3.58	3.93	6.28	5.88	4.99	2.58	6.78	4.38	5.19	5.08	6.67	4.07
LOC126806925	9.11	6.94	8.35	4.86	7.71	6.3	6.28	8.19	5.23	6.57	7.6	4.77
LOC130002480	3.03	3.02	2.99	4.59	6.14	4.87	8.23	8.04	4.8	5.38	8.56	4.85
LOC126807211	5.39	6.31	4.59	4.74	6.23	3.2	3.05	3.8	2.77	3.9	2.47	3.42
LOC105376267	6.61	7.59	4.85	4.87	6.46	5.47	4.11	5	6.13	4.62	6.85	0.14
LOC126806002	6.83	4.62	3.68	6.12	4.77	4.91	6.74	4.49	1.56	6.75	2.47	6.38
LOC127816046	6.96	7.61	2.51	5.23	3.07	3.16	3.95	6.72	6.24	6.37	4.9	9.33
LOC127274491	4.71	6.15	8.31	3.87	3.38	5.04	2.75	4.44	2.16	2.92	6.72	5.83
CAP1	3.52	3.78	7.66	6.5	2.56	6.05	5.63	5.49	4.39	6.78	4	5.02
LOC126807196	4.45	6.03	2.47	3.74	2.67	4.64	6.47	5.07	4.74	3.81	5.23	7.81
LOC129664373	3.38	3.73	1.61	7.36	2.27	8.24	4.07	4.99	3.79	6.04	8.27	5.74
LOC127825076	6.13	4.04	4.5	3.24	6.55	7.81	0.15	3.24	3.98	4.75	5.29	2.86
LOC130063117	7.02	6.39	5.77	6.35	2.81	3.65	3.03	5.26	5.85	4.7	3.7	6.29
LOC129993348	8.83	4.14	4.77	7.26	6.11	7.48	2.74	5.82	7.34	6.04	6.05	6.05
ACADSB	5.66	4.96	7.03	7.2	9.22	7.27	3.85	5.07	5.07	9.47	3.54	2.75
LOC127818124	3.43	6.83	4.56	4.8	4.64	3.83	4.3	4.33	3.93	4.94	4.7	1.62
LOC127825307	6.84	2.83	2.9	6.25	4.67	7.82	6.79	6.02	3.8	3.54	6.51	5.02
LOC127816996	6.63	7.87	7.74	1.15	6.51	8	2.44	5.22	6.29	6.87	3.5	3.73
IP6K1	4.57	8.68	4.58	5.8	4.97	6.13	3.9	6.5	4.17	4.45	7.55	5.68
LOC127816369	2.2	6.11	4.49	4.8	3.63	6.61	3.67	3.16	2.21	4.92	6.92	5.12
RAC2	6.37	5.76	4.53	6.08	2.44	3.18	7.57	8.5	5.08	3.32	4.78	8.13
LOC105375548	7.03	4.11	5.1	5.2	5.17	8.36	2.32	3.12	6.64	5.78	6.34	7.93
LOC127888633	4.47	5.88	0.83	7.33	4.23	3.93	2.22	4.12	5.83	2.42	7.39	6
LOC130060813	5.97	4.1	6.23	4.69	5.71	4.35	6.87	6.35	8.08	2.87	2.5	3.8
LOC127275583	4.5	5.52	6.3	6.32	5.51	5.92	5.06	5.7	9.44	5.84	6.13	2.41
LOC129389581	6.23	3.76	6.13	4.81	7.34	5.19	3.95	2.32	6.12	7.47	2.53	4.04
LOC129997242	4.79	6.42	4.26	6.18	6.08	8.03	3.7	3.86	4.68	6.6	4.22	2.81
LOC127273933	4.38	6.24	5.18	2.78	7.05	3.68	0.35	6.31	7.29	6.36	7.7	6.52
LOC127825383	5.2	7.24	2.42	6.09	5.13	4.03	5.49	8.87	6.34	2.19	6.25	3.82
LOC127891555	4.49	8.57	5.65	4.3	6.47	5.47	4.74	8.08	8.82	5.82	8.2	5.48
LINC02968	3.94	3.84	3.53	5.71	4.55	6.01	6.99	8.52	5.62	3.7	6.11	6.11
LOC127890775	4.43	6.74	7.37	3.42	4.72	10.27	4.14	7.05	4.7	5.12	6.71	6.94
HEPACAM	4.99	2.43	3.33	5.97	5.13	2.66	6.82	5.87	6.52	7.41	0.46	6.82
LOC127825476	5.37	4.18	1.29	10.38	3	7.01	5.45	4.5	5.4	2.23	2.5	4.77
LOC105980006	7.76	6.7	5.31	7.77	2.83	6.6	6.33	6.21	5.73	6.59	5.5	5.27
LOC127826315	2.56	3.67	2.06	6.76	4.48	6.98	1.77	3.9	7.42	1.72	0.99	4.11
LOC127269538	4.64	5.62	3.33	3.89	2.48	2.72	6.79	1.39	2.71	2.52	4.39	5.19
LOC127895118	6.14	3.38	6.45	5.58	5.17	5.66	6.41	7.18	3.93	5.4	3.88	2.07
LOC127269689	8.17	4.33	8.37	4.71	6.44	4.11	7.36	4.07	3.71	7.94	5.83	2.38
LOC130065236	5.77	4.93	4.53	1.43	3.41	1.84	4.9	6.31	3.35	3.99	5.05	5.89
LOC126861707	4.98	3.9	6.75	4.57	5.09	3.38	3.05	1.89	5.1	3.37	6.7	5.11
LOC127406166	4.45	1.5	2.52	4.43	2.23	3.12	4.74	0.1	4.14	4.96	3.81	5.35
LOC124902241	5.75	5.44	8.11	4.84	6.68	7.95	6.36	4.8	6.23	6.79	5.16	2.91
LOC132089790	6.78	5.85	4.99	4.04	4.36	3.73	6.59	2.4	7.32	6.54	2.74	5.52
LOC127829992	4.67	5.25	3.6	6.17	7.75	6.62	7.39	4.34	3.77	4.84	6.15	9.28
LOC127882919	5.29	4.12	5.72	8.45	5.08	6.09	4.88	5.61	5.74	6.81	2.82	7.36
LOC105376318	5.39	6.62	3.54	7.08	8.35	3.57	7.84	4.03	5.57	5.33	6.31	4.04
LOC127890303	6.31	6.94	5.09	6.19	5.6	5.97	3.58	5.05	3.32	4.86	9.8	3.32
LOC127403546	7	0.73	5.18	5.1	4.66	6	0.18	3.7	5.46	5.08	4.93	7.68
LOC107985634	5.5	7.02	7.1	5.14	6.82	2.93	5.41	3.02	3.59	7.05	6.04	5.41
LOC129934713	4.86	1.8	3.98	7.08	5.95	6.31	4.94	4.57	3.09	3.56	7.15	4.01
LOC105371725	7.51	4.38	4.32	7.31	4	4.99	2.65	6.82	1.7	3.17	5.89	1.99
LOC127456831	5.3	3	5.22	3.93	6.26	4.57	5.25	3.02	8.08	4.44	7.34	4.16
LOC127893092	7.84	3.87	6.62	6.71	6.14	3.41	2.78	6.58	4.77	4.8	3.28	3.08
LOC127896996	4.89	7.37	8.41	2.87	5.67	4.69	3.5	4.02	4.4	6.03	1.69	2.11
LOC130066966	6.11	5.96	7.85	2.85	4.36	3.05	7.52	2.61	7.58	5.72	5.99	6.18
RAET1G	2.22	5.89	6.73	7.87	4.91	4.96	0.1	6.14	8.84	8.2	4.76	6.34
LOC130061763	4.8	1.26	1.57	5.07	6.58	4.76	5.58	6.31	3.7	4.48	4.21	5.94
LOC130063162	4.96	5.35	6.71	5.06	7.02	4.56	4.18	7.1	2.81	8.43	5.32	5.42
LOC439933	3.63	6.13	6.36	6.76	5.54	7	3.88	6.07	4.86	7.53	3.08	3.41
LOC127895444	3.14	6.55	3.74	4.65	3.55	3.89	5.24	4.92	2.39	6.51	2.95	5.73
LOC127888640	6.71	3.25	3.98	3.48	6.36	4.76	4.13	7.74	3.88	5.56	6.98	6.39
LOC127823194	6.65	6.69	2.54	5.25	5.27	6.55	4.04	4.21	4.82	5.37	7.05	5.36
LOC124904097	2.66	2.49	4.98	1.92	7.05	7.38	2.5	4.85	4.06	1.66	4.63	8.83
LOC127828700	5.76	8.13	5.16	4.15	2.12	4.81	7.88	4.41	8.03	2.28	7.29	3.76
LOC127276267	3	3.56	1.84	4.72	3.66	5.12	6.63	6.34	5.42	3.58	6.25	6.17
LOC110121338	3.11	6.38	2.15	2.4	5.96	6.98	2.72	4.32	5.22	5.15	5.46	1.86
LOC129930556	5.95	5.57	5.31	5.33	2.56	5.58	4.44	6.17	8.01	7.27	1.81	9.85
LOC130064612	3.77	3.09	3.15	3.68	9.95	5.6	6.19	2.42	7.72	3.28	7.05	3.54
LOC130057058	6.79	7.06	4.46	7.01	3.47	4.53	3.99	3.6	4.43	5.55	7.97	2.71
AHNAK	5.07	5.06	6.81	4.49	5.8	5.18	5.08	5.53	5.02	1.1	5.36	3.31
LOC130058526	5.97	6.47	4.23	3.04	1.89	5.01	5.21	5.35	3.27	9.42	4.82	5.44
LOC127824314	4.06	5.39	5.23	5.43	8.97	6.04	7.94	3.74	3.76	4.65	5.25	3.14
LOC129935846	2.93	6.56	6.11	4.9	6.31	4.74	3.59	7.5	2.4	1.59	5.18	4.04
LOC127894707	6.65	5.04	2.98	5.07	4.07	4.45	6.38	6.47	6.18	6.88	2.49	5.43
LOC130004491	5.43	7.01	7.24	5.39	5.47	4.87	3.93	5.16	4.59	7.22	3.57	4.56
LOC121132676	4.57	4.37	6.65	4.29	3.72	4.17	4.5	5.53	6.01	6.39	7.19	5.11
LOC130001382	5.12	5.95	7.29	4.41	1.9	7.79	4.91	4.52	4.62	6.68	4.85	3.33
LOC124904911	7.39	5.68	4.23	6.17	3.04	3.09	5.56	7.19	2.37	4.61	4.46	4.04
LOC129933576	3.74	6.52	2.36	7.93	3.36	7.18	5.19	5.67	3.09	7.38	6.2	4.12
LOC130062091	3.65	3.88	5.92	1.53	7.05	4.98	4.13	1.4	6.34	4.58	7.24	7.94
LOC127818638	3.88	5.32	6.11	4.76	5.84	1.36	4.98	5.06	3.62	1.58	3.52	4.38
LOC127894023	2.15	3.96	9.57	6.76	4.33	4.02	5.46	4.91	2.44	8.42	5.11	3.83
LOC128900004	6.48	6.64	8.1	2.88	4.54	7.08	5.75	3.17	2.08	7.15	3.92	6.24
LOC126859647	5.35	3.85	4.16	7.1	6.93	2.67	2.59	4.34	3.93	6.32	5.49	6.51
LOC129929148	5.37	8.12	3.19	4.32	3.19	5.24	4.6	8.09	5.62	2.71	7.71	5.06
LOC127457130	4.92	6.42	6.12	6.27	6.08	2.79	8.24	9.56	4.38	6.66	7.22	6.73
RPL9P19	4.08	4.98	8.59	7.65	3.32	5.15	3.98	6.96	4.04	4.76	5.46	3.72
LOC130056083	3.52	7.17	2.87	6.62	6.29	6.84	5.09	4.2	4.88	7.11	4.79	7.44
